Federal Inititatives/ Scholarships,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Program,Type,Organization Type,Sponsor,Objective,Acceptance Rates (when applicable),Pre-recs,Level ,Target,Race/Ethnicity,Underrepresented,Location,Duration,Grant/Amount,Cost,,,
Gains in the Education of Mathematics and Science ,Fellowship,Government,Army Educational Outreach Program,"GEMS’ mission is to interest young people, who might not otherwise give serious thought to becoming scientists or engineers, in STEM careers early enough that they have the time to attain the appropriate academic training. The program is based on a multi-disciplinary educational curriculum, and is focused on age and grade-appropriate hands-on activities, in areas such as science, engineering, mathematics, computational sciences, computational biology, biomedical sciences, chemistry and biology.",,"US Citizen or Permanent Resident, ",Grades 5-12,"Elementary, Middle, High",,,USA,Summer,$125 per week,Free,,,
Advanced Cyber Education Course,Curriculum,Government,Air Force,"Advanced Cyber Education (ACE) program is a four week course that takes place during the undergraduate academic summer break at the Air Force Institute of Technology (AFIT). The program consists of an instructional component, cyber war exercises, and cyber officer development days that focus on the study of cyber and its unique leadership challenges.",,"ROTC Cadet, 2.75 GPA minimum, U.S. citizen, majoring in computer engineering, computer science, electrical engineering, or any information technology related major",Undergrad Juniors and Seniors in ROTC,Postsecondary,,,USA,4 Weeks,,Free,,,
National Math and Science Initiative,Curriculum,Government,NMS,"We strive to advance STEM education to ensure all students, especially those furthest from opportunity, thrive and reach their highest potential as problem solvers and lif​elong learners who pursue their passions and tackle the world's toughest challenges​. ",,,K-12 Students,"Elementary, Middle, High, Postsecondary",,,USA,,,Free,,,
The American Rocketry Challenge,Challenge,Government,Aerospace Industries Association,"The American Rocketry Challenge is the world’s largest rocket contest with nearly 5,000 students nationwide competing each year. The contest gives middle and high school students the opportunity to design, build and launch model rockets and hands-on experience solving engineering problems.",,,Students,"Elementary, Middle, High, Postsecondary",,,USA,,,Free,,,
eCYBERMISSION,Challenge,Government,US Army Educational Outreach Program,"eCYBERMISSION is a web-based science, technology, engineering, and mathematics (STEM) competition for students in grades six through nine. Students are challenged to explore how STEM works in their world while working as a team to solve problems in their community. Teams compete virtually in state and regional competitions and in-person through the National Judging & Educational Event (NJ&EE) in June 2021. Student prizes are awarded at the state, regional, and national levels by grade level.",,US Army Educational Outreach Program,Grades 6-9,"Middle, High",,,USA,Summer,,Free,,,
US Cyber Games,Challenge,Government,DoC,"The need for cybersecurity professionals has never been greater and continues to grow. Partnering to launch the US Cyber Games is just one of NICE’s initiatives funded to support strategic goals, including to promote cybersecurity careers and transform learning to build a diverse and skilled cybersecurity workforce. The games will utilize NICE’s Workforce Framework for Cybersecurity and help drive research on effective practices for cybersecurity workforce development.",,U.S. Citizen ,Ages 18-26,"Postsecondary, Professionals",,,USA,,,Free,,,
National Science Bowl,Challenge,Government,DoE,"At the National Science Bowl, high school and middle school students participate in a nation-wide competition to test their knowledge of STEM fields and encourage students to explore careers in STEM.  High school and middle school students are quizzed in a fast paced question-and-answer format similar to Jeopardy.",,,,"Middle, High",,,USA,Year Round,,Free,,,
The Better Buildings Case Competition,Challenge,Government,DoE,"The Better Buildings Case Competition challenges the next generation of engineers, entrepreneurs and policymakers to devise actionable ways to cut energy waste and improve commercial building efficiency. Using real-world scenarios and data, university and graduate teams develop creative solutions for common energy efficiency problems that private-sector organizations and state and local governments could replicate.",,,,Postsecondary. professionals,,,USA,,,Free,,,
Advanced Cyber Education Course,Challenge,Government,DoD,"Advanced Cyber Education (ACE) program is a four week course that takes place during the undergraduate academic summer break at the Air Force Institute of Technology (AFIT). The program consists of an instructional component, cyber war exercises, and cyber officer development days that focus on the study of cyber and its unique leadership challenges.",,"U.S. Citizen, 2.75 GPA minimum, ",ROTC Juniors and Seniors,Postsecondary,,,"Dayton, OH",4 weeks,,Free,,,
Science and Engineering Apprenticeship Program,Apprenticeship,Government,Department of Navy,"The goals of SEAP are to encourage participating high school students to pursue science and engineering careers, to further their education via mentoring by laboratory personnel and their participation in research, and to make them aware of DoN research and technology efforts, which can lead to employment within the DoN.",,,High School Students,High,,,USA,8 Weeks,,Free,,,
Undergraduate Research Apprentice Program,Apprenticeship,Government,Army Educational Outreach Program,"Spend your next summer, semester or year with the AEOP Apprenticeship program and take the next step in your STEM pathway while participating in research that matters. Opportunities for high school and undergraduate students. ",,,High School and Undergraduates,"High, Postsecondary",,,USA,Summer,,Free,,,
NIST NRC Postdoctoral Research Apprenticeship Program,Apprenticeship,Government,NIST,"The NIST NRC Postdoctoral Program supports a nationwide competitive postdoctoral program administered in cooperation with the National Academies/National Research Council (NRC). The postdoctoral program brings research scientists and engineers of unusual promise and ability to perform advanced research related to the NIST mission, introduces the latest university research results and techniques to NIST scientific programs, strengthens mutual communication with university researchers, shares NIST unique research facilities with the U.S. scientific and engineering communities, and provides a valuable mechanism for the transfer of research results from NIST to the scientific and engineering communities.",,"U.S. Citizen, Recieved a PhD within the past 5 years",New Postdoctoral,Professionals,,,USA,2 years,"$72,750 per year",Free,,,
DoD Starbase,Afterschool Program,Government,DoD,"Mission Statement: To expose our nation’s youth to the technological environments and positive civilian and military role models found on Active, Guard, and Reserve military bases and installations, nurture a winning network of collaborators, and build mutual loyalty within our communities, by providing 25 hours of exemplary hands-on instruction and activities that meet or exceed the National Standards.",,,Grades 6-8,Middle,,,USA,,,Free,,,
