Program,URL,Type,Organization Type,Target,Cost,Detailed Location,Location,Underrepresented,Gender,Race/Ethnicity,Community,Objective,Level,Cost,Pre-recs,Duration
"Drobots Company: Programming, Design, Animation",https://drobotscompany.com/technology-and-coding-stem-camps-kids-summer-camps-for-ages-5-8/,Summer Camp,Private,"Elementary, Middle",Varies,"FL,  GA, MD, MA, OH, PA, TX, VA","FL,  GA, MD, MA, OH, PA, TX, VA",,,,,"Drobots’ Minecraft, Scratch, gaming, and coding camps for the younger-aged camper are specifically designed to introduce 21st century STEM (Science, Technology, Engineering, and Math) skills in and out of the classroom! Summer is the perfect opportunity for the little ones to learn about the many facets of Legos, robotics, and STEM application.",Grades 3-8,Varies,,Varies
"Drobots Company: AI, AR, VR, MR",https://drobotscompany.com/future-tech-artificial-intelligence-augmented-reality-virtual-reality-stem-camps-kids-summer-camps-for-ages-8-to-13/,Summer Camp,Private,"Elementary, Middle",Varies,"FL,  GA, MD, MA, OH, PA, TX, VA","FL,  GA, MD, MA, OH, PA, TX, VA",,,,,"In this cutting-edge Artificial Intelligence camp participants will explore and engage with new-age to learn, to build, and to develop. Learn about the design and programming behind modern digital assistant software like Alexa, Siri, and Cortana in this innovative camp. Learn to build a video game enemy brain like the Goombas in Super Mario, Creepers in Minecraft, or Slimes in Terraria. More advanced students can build their own artificial intelligence that will attempt to balance a ball or learn to avoid colliding into obstacles. No prior experience is required. We provide all technology on location. Campers will be thrilled to bring home their digital portfolio at the end of the week and continue to work on their AI creation or to share with friends or family. Embark on an EPIC adventure in two of the most exciting and impactful technologies within both the classroom and the workplace! Over the course of the camp users interact with image recognition software and Unity’s AR Kit. No prior experience is required. We provide all technology on location.",Grades 3-8,Varies,,Varies
Stetson - Computer Science: Cybersecurity,https://www.stetson.edu/administration/continuing-education/cyber-security.php,Summer Camp,University,High,295.0,Virtual,"FL, Virtual",,,,,"During this course, students will cycle among ""white hat"" and ""black hat"" hacking roles in order to understand both perspectives: those that defend against attacks, and those that perform attacks. Students will practice initiating and defending against a variety of common attacks: denial of service, phishing, password cracking, man-in-the-middle interception, and penetration testing and exploitation. Various fundamental programming techniques such as conditionals, loops, functions, arrays and network programming will be taught in the Python language in order to develop automated attacks and defense strategies.",Grade 11-12,295.0,,5 days
Georgia Tech- AI4All,https://ai4all.ceismc.gatech.edu/georgia-tech-ai4all,Summer Camp,Non-Profit,High,500.0,*Georgia Tech,GA,,,,,"Georgia Tech AI4ALL is an immersive, non-residential summer learning program for students interested in artificial intelligence (AI). Students will engage in virtual learning experiences, receive mentorship by top artificial intelligence practitioners, and join supportive peer networks at Georgia Tech.",Grades 10-11,500.0,,2 weeks
Emagination Computer Camps: Georgia,https://www.emaginationtechcamps.com/georgia-computer-tech-camps,Summer Camp,Private,"Elementary, Middle, High",$795-$2695,*Mercer University - Atlanta Campus,GA,,,,,Our core program where campers select four tech courses for a two-week session and two tech courses for a one-week session.,Age 8-17,$795-$2695,,1-2 weeks
Big Data Academy,https://citizensciencehd.com/big-data/,Summer Camp,University,Middle,Free,Emory,GA,Underrepresented,Female,,,"Free summer academy for middle school girls at Emory University that focuses on real data from cancer patients and how to discover what causes cancer. The students will learn about cancer, how new data are generated, and how these huge data sets (big data) are mined. This will be a hands-on research experience (not a coding camp). We will also tour real Emory laboratories and meet with scientists at Emory.",Middle School Girls,Free,,1-2 Weeks
Georgia Tech Intro to Python,http://cs4k12.gatech.edu/summer.html,Summer Camp,University,High,800.0,Georgia Tech,GA,,,,,Exposing young minds to the creative side of computing.,Grades 9-12,800.0,,2 weeks
Georgia Tech Game Design and Development,http://cs4k12.gatech.edu/summer.html,Summer Camp,University,Elementary,500.0,Georgia Tech,GA,,,,,Exposing young minds to the creative side of computing.,Grades 3-5,500.0,,5 days
Georgia Tech TEC Camp (on pause),https://wie.gatech.edu/tec-camp,Summer Camp,University,Middle,350.0,Georgia Tech,GA,Underrepresented,Female,,,"Crafted to offer middle school girls an introduction to technology, engineering, and computing, TEC Camp inspires girls to consider college majors and careers in these important fields. The format is highly interactive and designed to address the specific interests of middle school students.",Grade 7-8 girls,350.0,,5 days
Duke's Artificial Intelligence @Georgia Tech (on pause),https://tip.duke.edu/programs/summer-studies/courses/artificial-intelligence,Summer Camp,University,"Middle, High",,Georgia Tech,GA,,,,,"Focusing on devices and programs like Siri, driverless cars, and more, this course looks at the impact of artificial intelligence while equipping students with the programming skills needed to work in the field. Students will also explore modern and historical research on AI.",Grade 8-10,,,3 Weeks
University of Georgia: Introductory Robotics,https://www.georgiacenter.uga.edu/youth/summer-academy/intro-robotics-session-a,Summer Camp,University,"Middle, High",400.0,University of Georgia,GA,,,,,"Are you someone who wants to figure out how things work and move? Are you interested in robotics and programming? Everything from vehicles to gaming consoles is tied to the booming field of robotics and mechanical engineering. In this camp, you will learn the basic tools and codes needed to build your very own robot. Using the design process your robot will continue to improve and get better at challenges as the week progresses. Come find out what you can do in the exciting world of robotics!",Ages 11-14,400.0,,5 days
Magma Robotics Camp,https://www.magmarobotics.com/kra,Summer Camp,Private,"Elementary, Middle",,Hawaii,HI,,,,,"KRA is an educational program that gives students, grades 1-8, an introductory course in designing, building, and testing robots. KRA consists of four classes each directed by a student members of our team. One class can fit a maximum of 16 students. Here at Kalani we encourage students to challenge themselves so if you or your child believe that they can handle higher level thinking, don't hesitate to sign them up for a higher level course.",Grades 1-6,,,
Data Science and AI Summer Camp (on pause),http://grandview.edu/about/community/camps-clinics/data-science-artificial-intelligence-summer-camp,Summer Camp,University,High,,Grand View University,IA,,,,,Wells Fargo is joining Grand View University to offer a data science and artificial intelligence day time summer camp. Classes will be taught by experts in the field of data science. This camp aims to instill and promote an interest in the computing and quantitative disciplines through a dynamic and team-based learning environment. There are a tremendous opportunities in this field and employers are looking for folks with these skills. This camp is subsidized by local businesses to encourage all students to explore this field.,Ages 15-18,,,1 week
First Step Robotics Camp,https://firstepcamp.com/,Summer Camp,Private,"Elementary, Middle",,Virtual,"ID, Virtual",,,,,"FIRSTEP is for kids curious about robotics, engineering, building, working with their hands, and willing to have fun with other students! FIRSTEP offers week long camps for students in 1st - 6th grade.",Grades 1-6,,,5 days
Wolfram High School Summer Camp,https://education.wolfram.com/summer/camp/,Summer Camp,University,High,,*Illinois,IL,,,,,"The Wolfram Summer Camp is an intensive two-week program designed to advance high-school students' programming and problem-solving skills. Through lectures and activities lead by Wolfram instructors, students use the Wolfram Language to learn and apply computational thinking skills.",High School,,,2 weeks
Emagination Computer Camps: Illinois,https://www.emaginationtechcamps.com/illinois-computer-tech-camps,Summer Camp,Private,"Elementary, Middle, High",$895-$3095,*Lake Forest College,IL,,,,,"At Emagination Coding Camp teens ages 13 to 17 learn to code using Java, one of today’s most popular dynamic programming languages. In this immersive two-week program, campers learn programming fundamentals and code in Java to build a variety of applications for Windows, XML Web services, distributed components, client server applications and more.",Age 8-17,$895-$3095,,1-2 weeks
Cracking the Code: Demystify Computer Science,https://wyse.engineering.illinois.edu/cracking-the-code-demystify-computer-science/,Summer Camp,University,High,380.0,*University of Illinois,IL,,,,,"Curious about programming? Want to know what it is useful for? Want expert guidance from a university with the best Computer Science programs in the world? In this camp, all these questions and ambitions will be fulfilled. There will be hands-on project-based experience with computer science: learn to code and understand the why behind coding. You get to hear from people within the industry and work with University of Illinois faculty and computer science majors!",Grades 10-12,380.0,,5 days
AI Scholars (Inspirit AI): Chicago,https://www.inspiritai.com/chicago,Summer Camp,Private,High,1500.0,Chicago,IL,,,,,"The 10-day program exposes students to fundamental AI concepts, and guides them to build a socially impactful AI project. The program runs as a 10-session (40 hour) project-based bootcamp.",High School,1500.0,,10 days
Illinois Tech’s Computational Science course,https://admissions.iit.edu/summer/computational-science-course,Summer Camp,University,High,$1395-$2395,Illinois Tech,Il,,,,,"Are you a college or advanced high school student interested in science, math, and computation? Learn about these topics in exciting and unconventional ways by enrolling in Illinois Tech’s Computational Science course for high school students. The course will integrate math and science with computation as a unifying concept.",Grade 10-12,$1395-$2395,Competion of Algebra II,2 weeks
Google CSSI Extension Northeastern Illinois University,https://buildyourfuture.withgoogle.com/programs/computer-science-summer-institute/,Summer Camp,Private,High,Free,Northeastern Illinois University,IL,Underrepresented,,,,Google’s Computer Science Summer Institute: Online is a 4-week introduction to computer science for rising college freshmen with a passion for technology - especially students who’ve been historically marginalized from the field.,Graduating Seniors,Free,,4 Weeks
AI and Bot Development,https://soic.iupui.edu/about/high-school-programs/summer-camp/,Summer Camp,University,High,229.0,Indiana University,IN,,,,,"Develop your STEM skills in our fun, interactive computer day camps for high school students. Topics include 2D animation, Bots, biomedicine, and game design.",High School,229.0,,5 days
Purdue AI/Machine Learning Camp,https://www.pnw.edu/engineering/about-us/artificial-intelligence-machine-learning-summer-camp/,Summer Camp,University,High,180.0,Purdue University,IN,,,,,"This summer camp will help you understand what AI/ML is, how AI/ML powers today’s digital world, and how it is essential for economic growth. It will motivate you to make a career decision in this field. You will learn AI/ML concepts and implement them in game-based programming platforms.",High School,180.0,,2 weeks
ND CORE Camp,https://stemeducation.nd.edu/stem-summer-camps,Summer Camp,University,Middle,,University of Notre Dame,IN,,,,,"ND CORE is a two-week summer computer programming and robotics experience that helps students learn the exciting work of coding with the Finch Robot using Snap! language.  Students also design more tailored scenes and games using the Scratch platform.io-economic backgrounds. ND CORE seeks to engage these very students in rich coding environments that help them develop abstract thinking, pattern generalization, the use of symbol systems and representations and logic to help solve relevant tasks.",Middle School,,,2 weeks
Camp Invention,https://sce.umkc.edu/summer-camps/,Summer Camp,University,"Elementary, Middle",160.0,*University of Missouri Kansas City,KS,,,,,"GenCyber Camps are sponsored by the NSA GenCyber program and offer an opportunity for rising 9th-12th grades to explore the field of cybersecurity through online instruction and lab activities. The participants will learn cybersecurity concepts, ethical hacking, digital forensics, and ethics. No previous cybersecurity experience or knowledge is required.",Grades K-6,160.0,,5 days
University of Kentucky STEM Experiences,https://education.uky.edu/stem/camp/,Summer Camp,University,"Elementary, Middle",275.0,University of Kentucky,KY,,,,,"The UK STEM Experiences is a collaboration among the UK Colleges of Education, Engineering, and Arts & Sciences. Our goal is to expose students to a variety positive learning experiences and career options in the STEM fields. Additionally, the summer experiences…",Grades 5-8,275.0,,5 days
PyFUN Programming Camp LSU,https://www.cct.lsu.edu/PyFUN,Summer Camp,University,"Middle, High",155.0,*Louisiana State University,LA,,,,,"Begin a programming and problem solving journey that will unlock the power of Python!  Learn the fundamentals of this general-purpose, high-level scripting language with a fun, step-by-step approach that makes coding easy and exciting for young students.",Grades 6-9,155.0,,5 days
Tulane Science Scholars Program,https://summer.tulane.edu/programs/stem,Summer Camp,University,"Middle, High",Request Info,Tulane University,LA,,,,,"The STEM programs in Tulane Pre-College offer students the opportunity to learn about careers that studying the science, mathematics, engineering, and technology disciplines can lead to after college. All of Tulane Pre-College STEM programs are designed to inspire participants to see the world in a new way and encourage them to realize the importance of finding solutions to real-world problems.",Middle and High School Students,Request Info,,
GNO Hands-On STEM Camp,http://gnostem.org/team-view/hands-on-stem-camps/,Summer Camp,Non-Profit,Elementary,350.0,University of New Orleans,LA,,,,Community,GNO STEM’s Hands-On Summer Camps offer students the opportunity to expand their STEM skills and knowledge and discover career opportunities in a variety of exciting and lucrative STEM fields.,Grades 2-5,350.0,,5 days
Lion's CyberCamp,http://www.southeastern.edu/acad_research/depts/comp_sci/summer/index.html,Summer Camp,University,"Middle, High",Free,Virtual,"LA, Virtual",,,,,"Southeastern University’s College of Science and Technology through the Department of Computer Science is pleased to sponsor The Lion’s Code CyberCamp. This 100% online summer computer camp is a four-day, fun-filled action-packed event specially designed for high school students. No prior coding or extensive experience with computers are needed. Students with more advanced skills, they should register, too, in order to explore advanced computing and to grow their personal knowledge and skill base. This is a rare opportunity for high school students to work directly with Southeastern’s cutting-edge computer science faculty and IT professional staff.",Grades 8-12,Free,,4 days
Emagination Computer Camps: Massachusetts,https://www.emaginationtechcamps.com/massachusetts-computer-tech-camp,Summer Camp,Private,"Elementary, Middle, High",$895-$3095,*Bentley University,MA,,,,,An immersive two-week STEM program where teens learn to code in Java and build a variety of applications,Age 8-17,$895-$3095,,1-2 weeks
Boston Leadership Institute - BIG DATA,http://bostonleadershipinstitute.com/big-data.html,Summer Camp,Private,"Middle, High",2200.0,*Boston,MA,,,,,"So what is Big Data? It’s a process that involves collecting massive amounts of data–bigger than traditional methods are capable of analyzing. It aims to collect a high Volume, Variety and Velocity of data in order to provide real time intelligence. Together, these form “the three V’s,” which are the main components of Big Data. Challenges that Big Data analysts have include how to store the data (which can be costly when we’re potentially talking about over a petabytes of data!), how to utilize new technology to analyze it, how to transfer the data, how to curate the data and many more. This one-week summer program is designed for teens interested in business, math, & computer science.",Teens grades 8+,2200.0,,1 week
Boston University - AI4ALL,http://ai-4-all.org/summer-programs/,Summer Camp,Non-Profit,High,50.0,*Boston,MA,Underrepresented,"Female, Non-Binary",,,"AI is everywhere. Help create the future by learning how to use AI to solve problems you care about. At AI4ALL Summer Programs, you’re immersed in hands-on learning, mentorship by top AI practitioners, and supportive peer networks at top universities.",Grade 10-11 girls,50.0,,3 weeks
MIT Beaver Works Summer Institute,https://beaverworks.ll.mit.edu/CMS/bw/BWSI,Summer Camp,University,High,Free,*MIT,MA,,,,,"The MIT Beaver Works Summer Institute (BWSI) is a rigorous, world-class STEM program for talented students who will be entering their senior year in high school. The four-week program teaches STEM skills through project-based, workshop-style courses. BWSI began in 2016 with a single course offered to 46 students, a mix of local daytime students and outof-state residential students. In this course, RACECAR (Rapid Autonomous Complex Environment Competing Ackermann steering), students programmed small robotic cars to autonomously navigate a racetrack.",High School,Free,,4 weeks
MIT Women's Technology Program,http://wtp.mit.edu/,Summer Camp,University,High,$3500 (virtual free),*MIT,MA,Underrepresented,Female,,,"The MIT Women's Technology Program (WTP) is a rigorous four-week summer academic experience to introduce high school students to engineering through hands-on classes, labs, and team-based projects in the summer after 11th grade.",High School,$3500 (virtual free),,4 weeks
AI Scholars (Inspirit AI): Boston,https://www.inspiritai.com/boston,Summer Camp,Private,High,1500.0,Boston,MA,,,,,"The 10-day program exposes students to fundamental AI concepts, and guides them to build a socially impactful AI project. The program runs as a 10-session (40 hour) project-based bootcamp.",High School,1500.0,,10 days
MIT Research Science Institute,https://www.cee.org/research-science-institute,Summer Camp,University,High,Free,MIT,MA,,,,,"Each summer, 80 of the world's most accomplished high school students gather at the Massachusetts Institute of Technology (MIT) for the Research Science Institute (RSI). RSI is the first cost-free to students, summer science & engineering program to combine on-campus course work in scientific theory with off-campus work in science and technology research.",High School,Free,,6 weeks
"Humanities in a Digital World: Technology, Ethics and Justice",https://precollegeprograms.northeastern.edu/programs/humanity-in-a-digital-world/,Summer Camp,University,High,1995.0,Northeastern University,MA,,,,,"For students who are interested in the social sciences and humanities, the Humanity in a Digital World program will study the ethical and social dimensions of new and emerging technologies including artificial intelligence, machine learning, big data, and virtual and augmented reality. Over the course of the students will learn about the promise and peril of these technologies, the ways in which they can enhance and save lives but also the ways in which they can exacerbate injustice and undermine our autonomy. At the same time, they will develop core ethical and critical reasoning skills!",High School,1995.0,,5 days
Bricks 2 Kids,https://www.bricks4kidz.com/maryland-ellicottcity-columbia/6772-2/,Summer Camp,University,"Elementary, Middle, High",,*Carnagie Mellon University,MD,,,,,"Ready AI is a program based in Pittsburg, PA that has teamed up with Dr David Touretzky, Professor of Computer Science at Carnegie Mellon University.  Dr Touretzky created a fun and engaging software called Calypso to help encourage children ages 8 to 14 years to learn AI computer language coding.",Ages 8-14,,,
UMD CompSciConnect,https://inclusion.cs.umd.edu/outreach,Summer Camp,University,Middle,150.0,*University of Maryland,MD,Underrepresented,,,,"CompSciConnect is a three-year summer camp (Yellow, Red and Terp groups) that typically begins with rising 6th graders joining the Yellow group. Each summer, students learn more advanced skills and also meet once a month throughout the school year to maintain those skills. Through the three years, students explore block programming with scratch (Yellow); web programming with HTML, CSS and JavaScript (Red); and Python and 3D programming (Terp), along with cybersecurity/safety, cryptology, number bases, logic and computer use skills. Through the three years, we emphasize how these skills connect to other areas of study and to making the world a better place. I4C Summer Academy Need-based Scholarships are available.",Grades 6-8,150.0,,2 weeks
Introduction to Computing 101,https://inclusion.cs.umd.edu/outreach,Summer Camp,University,High,150.0,*University of Maryland,MD,,,,,Come join us for a two-week camp to learn the basics of Python. Students will spend the weeks with current UMD computer science students to explore the field. Students will have lab visits and field trips. Students with previous computing experience should explore one of our other camps as this is created to be an introduction to computing. I4C Summer Academy Need-based Scholarships are available.,High School,150.0,,5 days
University of Maryland - AI4ALL,http://ai-4-all.org/summer-programs/,Summer Camp,Non-Profit,High,,*University of Maryland,MD,,,,,"AI4ALL is a three-week long, computer programming and artificial intelligence (AI) summer camp, previously residential. Students will come away from the camp knowing how AI can be used to help people and an idea of what kinds of careers there are in AI. The camp will be offered to rising 10th, 11th, and 12th graders. Students will be exposed to personal growth, education, and hands-on experiences presented by faculty, guest lecturers,  and students at the University of Maryland.",Grade 10-12,,,3 Weeks
Google CSSI Extension Make School,https://buildyourfuture.withgoogle.com/programs/computer-science-summer-institute/,Summer Camp,Private,High,Free,Make School,MD,,,,,"CSSI: Online is not your average virtual summer camp. It’s an intensive, interactive, and fun program that seeks to inspire the tech leaders and innovators of tomorrow by supporting the study of computer science, software engineering, and other closely-related subjects. Check out the CSSI: Online and CSSI: Extension tabs for more information.",Graduating Seniors,Free,,4 Weeks
UMD Cyber Defense,https://inclusion.cs.umd.edu/outreach,Summer Camp,University,High,500.0,University of Maryland,MD,,,,,"Cyber Defense Training Camp is an intermediate level (some technical experience is required) two-week summer program for both male and female students. Students will have the opportunity to expand their knowledge of cybersecurity and gain practical skills through instruction by an experienced security professional, while living on the UMD campus. Students learn about career options in the field, take at least one field trip and hear from a variety of speakers to learn more about how to prepare to enter this exciting profession. I4C Summer Academy Need-based Scholarships are available.",Grades 11-12,500.0,Some technical experience,2 weeks
Maine Robotics: Build Your Own Computer,https://mainerobotics.coursestorm.com/category/build-your-own-computer,Summer Camp,University,"Middle, High",$700-$750,University of Southern Maine,ME,,,,,"Have you ever wondered what all the parts of a desktop computer do? How a computer is put together, configured, and setup to run? This camp is for youth who want to build and test their own computer. We will be posting the specs of the computer by the end of May. We will be checking with prices this spring to maximize performance for your build (within our budget). ​ Each camper will use surplus and new parts that will be provided in order to build a fully functional personal computer.",Ages 12-16,$700-$750,,1 week
Maine Robotics: Programming Minecraft,https://mainerobotics.coursestorm.com/category/programming-minecraft,Summer Camp,University,"Elementary, Middle",345.0,University of Southern Maine,ME,,,,,"In the Programming in Minecraft Camp we will be using the software to start learning how to modify the gaming environment. There will also be time to ""just play the game"", but the focus will be on learning new skills that relate to programming in the environment.",Ages 10-14,345.0,,1 week
Maine Robotics: LEGO Robotics,https://mainerobotics.coursestorm.com/category/lego-robotics-mixed,Summer Camp,University,"Elementary, Middle",265.0,University of Southern Maine,ME,,,,,"This camp is for any level of LEGO Roboteer! So if you are a rookie or a veteran this camp can take you and help move your skills forward. We start off with some basics since even the veterans have often forgotten a lot since last year, and of course some beginners are more advanced. Our camp staff try as quickly as possible to figure out which you are. Usually one staff member will be working primarily with the beginners and one primarily with the advanced, with the third floating as needed.",Ages 9-13,265.0,,1 week
University of Michigan - AI4ALL,http://ai-4-all.org/summer-programs/,Summer Camp,Non-Profit,High,Free,*University of Michigan,MI,Underrepresented,,,,"AI is everywhere. Help create the future by learning how to use AI to solve problems you care about. At AI4ALL Summer Programs, you’re immersed in hands-on learning, mentorship by top AI practitioners, and supportive peer networks at top universities.",Grade 9-10,Free,,2 weeks
Camp Infinity,https://mymcwt.secure.force.com/Events/cnp_paas_evt__ExternalRegistrationPage?Site_Id=a2N0a000000dm0NEAQ,Summer Camp,Non-Profit,Elementary,75.0,"Howell, MI",MI,Underrepresented,Female,,,"Camp Infinity introduces girls to computer and internet technologies through hands-on activities. Campers are split into two groups according to the Fall 2019 grade level: 5th-6th grade and 7th-8th grade. Campers in grades 5th-6th will create their own web page using HTML and program Dash robots. Campers in grades 7th-8th will create their own web page using HTML and program EV3 or Vex robots. In addition, students will participate in mini- sessions that highlight programming skills and real-world uses of technology. Campers will also get an opportunity to meet with women who work in technological fields and explore career options in technology.",Grades 5-8 girls,75.0,,5 days
AI and Autonomous Vehicles Day Camp,https://lccan.org/summer-camps/,Summer Camp,Non-Profit,High,,"Livingston, MI",MI,,,,,"“Driving the Future” is a four-day summer camp for 9-12 graders to explore Artificial Intelligence (AI) and Autonomous Vehicles (AV).  This camp will provide students the opportunity to tour an autonomous vehicle manufacturing facility and proving grounds.  During the visit, students will also be able to ride in an autonomous vehicle shuttle. Throughout the week students will learn AI concepts and how AI assists autonomous vehicles to drive.  We will also explore the role AI plays within Healthcare, Retail, and Predicting the Weather.",High School,,,4 days
Summer Computing Academy for female students,https://www-users.cs.umn.edu/~gini/computingacademy/index.html,Summer Camp,University,"Middle, High",$60-$100,*University of Minnesota,MN,Underrepresented,Female,,,"The main goal of this program is to teach computer programming using python in an intense hands-on program to be held on the University of Minnesota campus. The program will include lectures on fundamental programming concepts and on the python programming language together with extensive hands-on experience in a computer lab. Instruction will be done by graduate students and professors. Participants will have ample time to work in a computer lab to develop programs for small robots, image processing, and other applications under close supervision of teaching assistants. In addition, there will be a variety of career planning and discovery activities.",Middle and High school female students,$60-$100,,1-2 weeks
<run>:\the\world Machine Learning Virtual Summer Camp,https://cse.umn.edu/mcfam/theworld-machine-learning-virtual-summer-camp,Summer Camp,University,High,75.0,*University of Minnesota,MN,,,,,"Join us at camp to learn about the answers to questions like these and more! Use the Python programming language to analyze social networks and data that can be found around us on a daily basis. Apply machine learning algorithms to projects of your choice. Meet a new guest speaker every day! Hear how machine learning methods are used by local companies and how their work makes a difference in the world. This is a unique opportunity to connect with other high school students who share the same interests, and learn cool programming and math techniques that make a difference in the world.",Grades 11-12,75.0,,5 days
Tech Academy of Minnesota: Minnesota,http://www.techacademymn.com/,Summer Camp,Private,"Elementary, Middle, High",,51+ locations,MN,,,,,"Tech Academy (formerly Computer Explorers) of Minnesota provides research-proven technology and summer STEM day camps for kids and teens ages 4-15. We believe learning should be fun, innovative, challenging and hands-on. We host over 300 camps annually throughout Minnesota and Wisconsin. We offer 30 different classes/camps in Minecraft, Video Game Design, Programming, Engineering, Robotics, Computers and Film Making.",Ages 4-15,,,
University of Montana Tech Track Camp,http://hs.umt.edu/cs/summer-offerings/programming-camp.php,Summer Camp,University,High,,University of Montana,MT,,,,,"The University of Montana Computer Science Department will be hosting a 3 day/2 night Tech Camp for High School Students (enrolled in High School fall 2018). Campers will choose 1 of 3 tracks.  Each track will consist of 6 sessions.  A variety of topics will be offered that consist of 1, 2 or 3 consecutive sessions.  You do not have to have any experience to attend this camp.  It s a great way to see what technology is all about!",High School,,,3 Days
NCSSM Summer Ventures: Appalachian State,https://www.ncssm.edu/summerventures/admissions,Summer Camp,Non-Profit,High,Free,North Carolina School of Science and Mathematics,NC,,,,,"In Summer Ventures, you will study with university faculty and master teachers, engaging in hands-on activities in labs and in the field. You will gain skills in experimental design, laboratory instrumentation, mathematical modeling, problem solving, data analysis, the engineering design process and more.",Grades 10-11,Free,,4 weeks
NCSSM Summer Ventures: East Carolina University,https://www.ncssm.edu/summerventures/admissions,Summer Camp,Non-Profit,High,Free,North Carolina School of Science and Mathematics,NC,,,,,"In Summer Ventures, you will study with university faculty and master teachers, engaging in hands-on activities in labs and in the field. You will gain skills in experimental design, laboratory instrumentation, mathematical modeling, problem solving, data analysis, the engineering design process and more.",Grades 10-11,Free,,4 weeks
NCSSM Summer Ventures: UNC Charlotte,https://www.ncssm.edu/summerventures/admissions,Summer Camp,Non-Profit,High,Free,North Carolina School of Science and Mathematics,NC,,,,,"In Summer Ventures, you will study with university faculty and master teachers, engaging in hands-on activities in labs and in the field. You will gain skills in experimental design, laboratory instrumentation, mathematical modeling, problem solving, data analysis, the engineering design process and more.",Grades 10-11,Free,,4 weeks
NCSSM Summer Ventures: UNC Wilmington,https://www.ncssm.edu/summerventures/admissions,Summer Camp,Non-Profit,High,Free,North Carolina School of Science and Mathematics,NC,,,,,"In Summer Ventures, you will study with university faculty and master teachers, engaging in hands-on activities in labs and in the field. You will gain skills in experimental design, laboratory instrumentation, mathematical modeling, problem solving, data analysis, the engineering design process and more.",Grades 10-11,Free,,4 weeks
MSCU - There Must be an App for that!,https://www.engr.ncsu.edu/theengineeringplace/summerprograms/hs-residential/,Summer Camp,University,High,925.0,North Carolina State University,NC,,,,,"Join us this summer for an adventure in Computer Science! In this exciting camp, students will learn about the design and development of Android mobile applications using block-based programming and MIT’s App Inventor.   Much of today’s society and social movements occur through smartphones and mobile apps. Participants will learn the basics for developing smartphone applications, working collaboratively to build apps to promote social change, charitable causes, and other socially relevant themes. In this camp, we will explore the fundamentals of programming to gain basic computer science skills for algorithm development and computational thinking. No prior programming experience is necessary, and Android devices for development will be provided during the camp.",Grades 11-12,925.0,,1 week
NC-MSEN Summer Scholars Program,https://www.fi.ncsu.edu/teams/msen/,Summer Camp,University,"Middle, High",,North Carolina State University,NC,Underrepresented,,,,"The North Carolina Mathematics and Science Education Network Pre-College Program (NC-MSEN PCP) is a STEM-enrichment program that recruits students from underserved populations in grades 6 through 12 and provides them with experiences that will equip them to attend a four-year college/university to pursue majors in science, technology, engineering and mathematics (STEM) fields. One of four public university campuses across North Carolina that offers this program, the NC State chapter partners with school districts and schools in northeastern and central North Carolina. The program includes:",Grades 6-12,,,2 weeks
IT High School Internship Program,https://www.unomaha.edu/college-of-information-science-and-technology/engagement/high-school-internship-program.php,Summer Camp,University,High,Free,"Omaha, NE",NE,,,,,"The University of Nebraska at Omaha College of Information Science and Technology's Summer High School Internship Program will give you an innovative, hands-on experience directly in our labs. You’ll work alongside our faculty and students in areas such as robotics, bioinformatics, software engineering, cybersecurity, public health informatics, database-driven web development, IT innovation, open community participation research lab, music informatics, iOS/Android app development, gaming lab, and others. The program this summer is partially supported by a grant from the Bill and Ruth Scott Foundation.",High School,Free,,8 weeks
The Jeffrey S. Raikes School of Computer Science and Management Summer Camp,https://raikes.unl.edu/summercamps,Summer Camp,University,High,1200.0,University of Nebraska,NE,,,,,The Jeffrey S. Raikes School of Computer Science and Management hosts an annual summer camp for current high school students.,High School,1200.0,,2 weeks
Minecraft Game Design Master,https://letgoyourmind.com/virtual-programs/,Summer Camp,Private,,150.0,Concord,NH,,,,,"In this week-long program your child will learn to master Minecraft. Students will learn how to use Redstone to build circuits and machines, use command blocks to enhance maps and see how  it is applied to Minecraft.  Students will develop an understanding of game design, while also applying previous learned skills such as teamwork, cooperation, and healthy/good competition, all while having fun and building amazing creations! All programs will have a maximum of 12 students, in which they will work together/separately. We will also make use of the breakout sessions for small groups or 1:1 instruction. Our instructors will provide direction, inspiration, and interaction throughout the week during the Zoom sessions!",Not Specified,150.0,,1 week
Princeton - AI4ALL,http://ai-4-all.org/summer-programs/,Summer Camp,Non-Profit,High,6000.0,*Princeton,NJ,Underrepresented,,,,"AI is everywhere. Help create the future by learning how to use AI to solve problems you care about. At AI4ALL Summer Programs, you’re immersed in hands-on learning, mentorship by top AI practitioners, and supportive peer networks at top universities.",Grade 11,6000.0,,3 weeks
EPIC - Elementary Programming,https://www.unh.edu/youthprograms/course/epic-elementary-programming,Summer Camp,University,"Elementary, Middle, High",,*Princeton,NJ,,,,,"EPIC is designed to inspire the next generation of computing innovators by engaging young students in learning computational thinking skills and programming fundamentals. We offer various levels of classes on different subjects so students can build confidence in technologies within a well-balanced learning environment. Our hands-on activities are designed to promote problem-solving and logical thinking skills as well as to encourage social interactions, participation, and fun!",Ages 7-15,,,5 days
