After School Programs,,,,,,,,,,,,,,,,
Afterschool Alliance lists a comprehensive guide to US Computer Science After School Programs and Curricula here,,,,,,,,,,,,,,,,
Great Advocacy.Code.org Report w/ data on computer science adoption and standards across US Schools here,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Program,Private/ Non-profit,Type,Objective,Location,Level,Gender,Race/Ethnicity,Underrepresented ,Community,Pre-rec,Target,Number of Participants,Duration,Cost,Funding,Investors
Hour of Code Activities,Private,Curriculum,"Hour of Code started as a one-hour introduction to computer science, designed to demystify ""code"", to show that anybody can learn the basics, and to broaden participation in the field of computer science. It has since become a worldwide effort to celebrate computer science, starting with 1-hour coding activities but expanding to all sorts of community efforts.",Virtual,K-12 students,,,Underrepresented,,,"Elementary, Middle, High",Reportedly 1+ billion users,User driven timelines,Free,Not specified,"Major partners: Amazon, Accenture, Google, Microsoft, CS for All, and lengthy list of international partners"
AI 4 K12,Non-profit (?),Curriculum,"A site used to organize the AI for K-12 initiative jointly sponsored by the Association for the Advancement of Artificial Intelligence (AAAI) and the Computer Science Teachers Association (CSTA). To help get started on the dialog that will eventually result in (1) national guidelines for AI education for K-12, (2) an online, curated Resource Directory to facilitate AI instruction, and (3) a community of curriculum, resource, and tool developers focused on the AI for K-12 audience.",Virtual,K-12 students and educators,,,Underrepresented,,,"Elementary, Middle, High, Educators",Not specified,Not specified,Free,Not specified,"Sponsors: ASSOCIATION FOR THE ADVANCEMENT OF ARTIFICIAL INTELLIGENCE, CSTA; Funders: NSF, Carnegie Mellon University School of Computer Science"
Discovery Education Coding,Nonprofit,Curriculum,"With Discovery Education Coding, students will gain a secure understanding of coding concepts, like algorithms, sequences and variables, and develop critical computational thinking skills through decomposition, logical reasoning, and imaginative problem-solving. And, best of all, students and teachers alike will be able to demonstrate their creativity and build confidence by creating their very own apps and sharing them with their classmates and colleagues.",Virtual,K-12 students,,,Underrepresented,,,"Elementary, Middle, High, Educators",,Self-guided lessons,Free,,
AI for Everyone,Private,Curriculum,"AI is not only for engineers. If you want your organization to become better at using AI, this is the course to tell everyone--especially your non-technical colleagues--to take. ",Virtual,Anyone,,,Underrepresented,,,Everyone,,35 videos,Free,,DeepLearning.AI
AI 101,Private,Curriculum,"What is deep learning? Or intelligent automation? Or any number of AI-related technologies and applications that seem to be used more and more every day? These videos tackle AI, analytics and automation topics one at a time, using simple analogies, clear definitions and practical applications—all in under a minute.",Virtual,Anyone,,,,,,Anyone,,,Free,,Accenture
AI Foudations for Everyone,Private,Curriculum,"This specialization is designed for those with little or no background in AI, whether you have technology background or not, and does not require any programming skills. It is designed to give you a firm understanding of what is AI, its applications and use cases across various industries. You will become acquainted with terms like Machine Learning, Deep Learning and Neural Networks. ",Virtual,Anyone,,,,,,Anyone,,3 courses within specialization,Free,,IBM
Creative Computing Curriculum,University,Curriculum,"A collection of ideas, strategies, and activities for an introductory creative computing experience using a free computer programming language, Scratch.",Virtual,K-12 students,,,,,,"Elementary, Middle, High",No limit (reportedly millions of downloads),Not specified,Free,Part of Harvard University,Part of Harvard University
Minecraft Education,Private,Curriculum,"Minecraft: Education Edition is an open-world game that promotes creativity, collaboration, and problem-solving in an immersive environment where the only limit is your imagination.",Virtual,Ages 3 and up,,,,,,"Elementary, Middle, High",Not Specified,Different Curriculum options,Free,Not Specified,"Mojang Studios, XBOX Game Studios"
STEM Kids Nation Code Course Pathway,Private,Curriculum,"STEMKidsNation offers STEM learning opportunities for all ages from kindergarten all the way through high school. STEMKidsNation, encompasses the concept of “Start Young” with the kids by involving them at a young age.   Our Curriculum is designed and developed in such a way that it can be used as a year around program for After School Programs, Science Clubs, Home Schools, and in Summer Camps.",Virtual,Grades K-12,,,,,,"Elementary, Middle, High",Not specified,User driven timelines,Free,Not specified,Not specified
CS Teachers Association,Private,Curriculum,"""Voice for Teachers driven by teachers."" Mission is to empower, engage and advocate for K-12 CS teachers worldwide.",Virtual,K-12 Educators,,,Underrepresented,,,"Elementary, Middle, High","95 chapters, 3,561 members",N/A,Free or $50 annually,Not specified,"Partners: Microsoft, Google, ACM, Amazon Future Engineers, Facebook, Infosys Foundation, Community Foundation of Utah, Plural Sight One, CME Group"
Code Monkey,Private,Curriculm,"CodeMonkey is a leading coding for kids program. Through its award-winning courses, millions of students learn how to code in real programming languages. CodeMonkey offers an engaging and enjoyable curriculum for schools, after-school clubs and camps as well as self-paced online courses to learn coding at home.",Virtual,Grades K-8 students and educators,,,,,,"Elementary, Middle, Educators",Reportedly millions of users worldwide,1- 3 semester length course pathways,Membership (fee not specified),$2.2 million,"MindCET, Tal Schwarts, co.lab, Inventus Capital, Zora Ventures, J21 Corporation"
EngageCSEdu,Nonprofit ,Curriculum,Foster diversity in introductory computer science courses with quality content and engaging pedagogy.,Virtual,Educators,,,Underrepresented,,,Educators,Not specified,Not specified,Not specified,Not specified,Not specified
Aspirations in Computing (AiC),Non-profit,Curriculum,"Aspirations in Computing (AiC) encompasses a suite of programs that provides technical girls and women with ongoing engagement, visibility, and encouragement for their computing-related interests and achievements.",Virtual,"K-12, college, post-grad female students and educators ",Female,,Underrepresented,,,"Elementary, Middle, High, Educators. Postsecondary","Reportedly over 16,000 members and taught over 13,000 girls",1 year,Not specified,Not specified,"Partners: Apple, Amazon, AT&T, Bank of America, Bloomberg, DoDTEM, Facebook, Google, Microsfot, Motorola, Northrop Grumman, Palo Alto Inc, Qualcomm"
ICT4Me,Private,Curriculum,"ICT4me is an afterschool and summer youth-based curriculum for middle school youth to develop Information Communication and Technology (ICT) fluency, interest in mathematics, and knowledge of ICT careers. ICT4me is a problem-based curriculum that capitalizes on youth interest in design and communication technologies and incorporates performance tasks for ICT fluency assessment.",Virtual,Middle School,,,,,,Middle,Not specified,6 units between 32 and 48 hours each,Not specified,,Not Specified
Code Changers,Private,Afterschool Program,"We believe it is important that we start teaching about STEM subjects, such as computer science and web development, early. We offer our After-School Programs to students starting at the age of 8! We provide children with a headstart in their technology education, and get them looking towards a future in STEM!",Virtual,Ages 8+,,,,,,"Elementary, Middle, High",,Flexible,Request a Quote,,
Self-study AP Computer Science Principles online class,Private,Curriculum ,"Edhesive is recognized by the College Board as an endorsed provider of curriculum and professional development for AP® Computer Science Principles (AP CSP). This endorsement affirms that all components of Edhesive‘s offerings are aligned to the AP Curriculum Framework standards and the AP CSP assessment. Using an endorsed provider affords schools access to resources including an AP CSP syllabus pre-approved by the College Board’s AP Course Audit, and officially recognized professional development that prepares teachers to teach AP CSP.",Virtual,High School AP Computer Science Students,,,,,"AP Computer Science Students, ",High,,Year Round,Request a Quote,Not Specified,Not Specified
Code Avantage,Private,Afterschool Program,"We don’t just teach coding and robotics. We create learning environments for kids to develop logical thinking, creative exploration, and critical reasoning skills – while having fun. Kids can join one of our award winning after-school computer programming courses or an online coding class with a live instructor and learn online with other students.",Virtual,Grades PreK - 8,,,,,,"Elementary, Middle",,Each course 1 hour per week/8 weeks,Starting at $225,,Not Available
Create & Learn,Private,Curriculum,"Our online coding classes for kids were developed by tech experts from top companies like Google, experienced teachers, and talented graduates of Stanford, MIT, and Harvard to teach your kids computer programming, Robotics, Artificial Intelligence, and more. Comprehensive and Personalized Curriculum Paths Where all students succeed, no matter their interests. coding for kids Explore online coding for kids classes by grade Scratch, AI, Robotics, Python, Minecraft, and Other Coding Languages ",Virtual,K-12 students,,,,,,"Elementary, Middle, High",Not Specified,Extensive Courses,Varies,Not Specified,"Google, Apple, Stanford, Harvard"
Sylavan Learning: Coding Camp,Private,Afterschool Program,"Using our exclusive Tynker™ technology platform, younger kids can learn coding fundamentals with easy to use drag and drop technology, while older kids can dive into JavaScript and Python Coding for more advanced programming. Kids will love designing their own video games and coding them to fruition!",Virtual,Grades 3-8,,,,,,"Elementary, Middle",,,,,
Sylavan Learning: Robotics,Private,Afterschool Program,"In our Robotics camps, kids learn how to build and program a variety of robots using LEGO® bricks and award-winning software. Kids bring their LEGO creations to life – how cool is that? Each theme-based session encourages creativity and imagination as kids brainstorm, build and experiment with amazing robots.",Virtual,Grades 3-8,,,,,,"Elementary, Middle",,,,,
Next Wave Stem,Private,Afterschool Program,"NWS-certified instructors can teach STEM ANYWHERE—in-person or virtual, ANYTIME—during or after school. 
We also offer co-teaching models where our instructors can mentor teachers or teach alongside for any of our eleven courses.",Virtual,K-12,,,,,,"Elementary, Middle, High",,,,,
Teensinai,Private,Conference,"The Teens In AI initiative, launched at the AI for Good Global Summit at the UN in May 2018, exists to inspire the next generation of ethical AI researchers, entrepreneurs and leaders who will shape the world of tomorrow. It aims to give young people early exposure to AI being developed and deployed for social good. Through a combination of teensinai’s own hackathons, accelerators, and bootcamps together with expert mentoring, talks, company tours, workshops, and networking opportunities the program creates the platform for young people aged 12-18 to explore AI, machine learning, and data science.",Virtual,12-18,,,Underrepresented,,,"Middle, High",Not Specified,,,,"Wayra, Mastercard, Microsoft, BBC"
CS Recitations The Advanced CS Academy,Private,Afterschool Program,"Founded by experienced MIT Alumni, our school offers a year-round after-school program offering a comprehensive curriculum for grades 3 through 12 designed to meet and exceed Massachusetts DESE standards for computer science, including a challenging MIT edX Python programming recitation, and international competitions. Our in-person, small classes offer an ideal social learning environment. Our teachers use state-of-the-art interactive computer technology to further enhance the classroom environment. Whether your child is just starting out or is ready for more challenge, we have what you are looking for.","Virtual,  MA",Grades 3-12,,,,,,"Elementary, Middle, High",Not Specified,30 classes ranging 1-2 hours for each topic,$35-$50 per class,Not Specified,Not Specified
KT BYTE,Private,Afterschool Program,"KTBYTE was founded in 2014 in Lexington, MA. We have taught online and in-person computer science classes to over 1000+ students. We feel passionate about CS education and designed our own platform and curricula to teach students at a young age. Our instructors are college students and working professionals with background in computer science and software engineering.","Virtual,  MA",Ages 8+,,,,,,"Elementary, Middle, High",1000+ students,60 minutes weekly lessons and additional time for HW,Request a Quote,Not Specified,Not Specified
WhizKidz,Private,Afterschool Program,"WhizKidz Computer Center is the premier facility for your child to learn computer programming. Our center offers a variety of courses ranging from Java, Python, PHP, C/C++/C#, HTML5/CSS3/JavaScript, Raspberry Pi, Arduino, LEGO EV3 Robotics, Scratch, Minecraft modding and many more. No one has as much variety or is as complete as we are in our offering. We also have tutoring, private and semi-private lessons to complement our courses.","Virtual, CA",Ages 8+,,,,,,"Elementary, Middle, High",,1.5 hour long classes/week for 8 weeks,$375-$550,,
Stembuilders,Private,Afterschool Program,"STEM Builders' curriculum is designed so that no student is left behind. Each student gets an opportunity to work on designing, programming, documenting, and exploring and practicing science and math. They also work in teams to learn collaboration and communication. By sharing their work at the end of every project, our students develop confidence and presentation skills. We challenge our students with advanced curriculum, helping them develop critical thinking, logical thinking, and problem-solving skills.","Virtual, MN, TN",Ages 6+,,,,,,"Elementary, Middle, High",2000+ students,2-50 minute classes/week,$249/month,,
Code Speaks Labs,Private,Afterschool Program,"CodeSpeak Labs prepare youth to have an impact by teaching them the language of the 21st century: computer coding. We're committed to training the next generation of diverse, engaged techies who will build a better world.","Virtual, NY, CA",Grades PreK-12,,,Underrepresented,,,"Elementary, Middle, High",,1-2 hour long claases per week,$189-$342 per month,,
